wallet_address,hybrid_score
0x1954c8cd151de0d0946fcc1e8a97545f711e2380,78.69542030266183
0xd84e11bee5d555ccd905817cb8cbbd5b6e6c4f0d,78.55442121358917
0x89ff1c432d8adf7b4777117f91d58d4b64595ca7,77.98638835724329
0x03e3702d91098350d057ded0a05095f703bba2e7,77.66530803258868
0x7ef5774cb1cb4a6829a85738d4c6956e2edc5be4,77.5933104746309
0xcf23abf7047685fb020ea16ee4feea3a195edcff,77.44745656982295
0x3173acd056c8d6bb3ec849d3f6ffa90b8fda208b,77.31893946400112
0x879aff2c8d6e2f42f05441c4ae999e7815770bbd,77.11834248165147
0x9939d74f7cc25f93dced7c9fa2cb8c76897f21fc,76.68391416713678
0xfdd43923340736ffbcb31c808ac644922c1df05d,76.62007495650073
0x033e9b12438f95cdbe9170f313367f4c614c5fd4,76.4855035105713
0x8e2b4f283e3828b41343c4b24549b5a5b36b6632,76.2696899686957
0xab95a0fb53df696a492a93f30fa126bde2493043,76.26381760743327
0x01b29eb97ec05b81abd72b77035d99dc1b482c1a,76.04455796630342
0xe82941e727d84f99329b94381e67a94524963d05,75.96941837427556
0x520cf366149d9226f3fdfd876916ff8509418f80,75.85066252129772
0xa1bd817e13ed6bb524ed491cff76c83afec773ac,75.71425046384087
0xca3ca50903338747931380f363cca226b760c9eb,75.65161728082066
0x96c8e2a1eab72eea758b6694fb2217c4118bb803,75.63059284795142
0x852d0f03389681cb713795648bc157e878562786,75.63000997064191
0x61f9f97700d391d875fa14e020bd6f1e862ca10b,75.610530421192
0xf9c5384c9711dfd958e27856fb4640a8ad660def,75.50678151280289
0xc209cc607c81ca7d8c0bfca7bfd6144c74a7e238,75.39564597423357
0x16ad4e68c2e1d312c01098d3e1cfc633b90dff46,74.99277271183445
0x134d7706f8f542f611a785cf30c693df302f4f24,74.87941254985842
0x3861a3c9c3362a5276ea59be4707ce5700b9c304,74.84948278020639
0x40d83d66673ec330c3cdb45b6ac9eb884d262a71,74.8108629886631
0x26d8f0909a9bb3a1758024c90e8fd87f5d24d65f,74.6401586858461
0xb027257430f0e4dc0fad2184ff4b415761e8db20,74.61813412919605
0xe1447914f234eb30f8725b2f564e60a655e39cc0,74.56144016108945
0x4c77ca7ff8e548806fdc88e4dfa8ea1e493a450a,74.36556720781917
0x0a719a1c3d997ee54ee317dd02617ed7edb53e00,74.28195519213085
0x09ae8298fb048e0c7b12f6ac0d38c6f0a2430e0b,74.14059389850297
0x7c65eeefff2b7127df173b43b7c93b93ab75c7e7,74.08190575849778
0x14c45cd15d33eaa8aa149e3ca0e6924db143b08c,74.03770696665589
0x204d363bed977942e9ee1dbb24ad940b16cc02db,73.82845247542127
0x61117012f9fb63cf0e7c688c76bfc874db3c6874,73.7372030149618
0x3c019229b2dc7fac4b725040c86d12aac48e31d3,73.72564833281555
0x53c3f93d5146b3c1dde50d20e6f0422747fb5b7b,73.67862811159245
0xb06068f25c6b6944593a91d36a8e4f88985dd846,73.56144963837383
0x8f9e6dd01128cc3c148902ebfa648bfcb68ad1ce,73.52064638825976
0xe7dfe56bfaa4ea4498ddd9afc3f4d35631def18a,73.4888687378399
0x6cbbd5d5e3f71280a568823adee4b18cc1be5e32,73.48178449251324
0xedfbdcacb9646e3c017321bfbc8c1bf82a8fc12f,73.4483758045329
0xac79d6385ee06048665d619e63840d1168afa7e6,73.26868888440315
0x2cede2b6caa201978cfc0c46058e471bce349c7c,73.24747426347002
0x2b354cfa9170febc4829d499af094c70c7920334,73.23805434230434
0x8b221a3b1b2675ab9e836904fb55742dc57b32ba,73.22843241018498
0xa36b808d080ad39d93b861599ff7ee7ff17bcaf3,73.1324375498292
0x540b3f3705ea15a75f759c74fa046dbb47d08981,73.12768185231663
0x98e28650cf30e5aa1b7e9cdb258522ec3cb57614,73.1205030889181
0xcb9b091ded976546a20a409823dd6f5f092ffd86,73.01662963208764
0x3977504a7240f400d608f5b1c7f7299556b284c9,73.01614025263757
0xb3b1cf4a37a5ad7a3cea9d5b652ab106c9576b8a,72.84408733476907
0x59eb9490e65680eee103736e489b35ef57a3125d,72.82054386871349
0xa4b5173309ac878db01dcea2b230cdcbc2cf6312,72.81080526926559
0xba333f8ff556bf35d38e102a98daf1c5f6d9d708,72.77187500320912
0x8985aebdb1adf244f1f3f8ad9ff89b8a045b5319,72.64977999333915
